L1,L2,L3,L4,LC_UNQ,L1-label,L2-label,L3_Label,L4_Label,L5_label,Text,details,L1_name,L2_name,L3_name,L4_name,UNQ_name,,CropNoCrop
60,100,101,129,129,,,tobacco,,,                      tobacco,,LowVeg,LowCrop,crop_tobacco,tobacco,tobacco,,100
60,100,101,130,130,,,non-soy legumes,,,                      non-soy legumes,,LowVeg,LowCrop,crop_legume,legume_non_soy,legume_non_soy,,100
60,100,101,130,131,,,,beans,,                              beans,,LowVeg,LowCrop,crop_legume,beans,beans,,100
60,100,101,130,132,,,,peanuts,,                             peanuts,,LowVeg,LowCrop,crop_legume,peanuts,peanuts,,100
60,100,101,133,133,,,horticulture / small vegetables,,,                     horticulture / small vegetables,small beds,LowVeg,LowCrop,crop_hort,horticulture,horticulture,,100
60,100,101,133,134,,,,greenhouse,,                            greenhouse,greenhouse/tarp structure for at least part of year,LowVeg,LowCrop,crop_hort,crop_greenhouse,crop_greenhouse,,100
60,100,101,133,135,,,,flowers,,                            flowers,,LowVeg,LowCrop,crop_hort,horticulture,crop_flowers,,100
60,100,101,133,136,,,,strawberries,,                            strawberries,,LowVeg,LowCrop,crop_hort,horticulture,strawberries,,100
60,100,101,138,138,,,rainfed annual crops - general - homogenous,,,                    rainfed annual crops - general - homogenous,"single crop. If not, use 135",LowVeg,LowCrop,crop_rainfed_homo,crop_rainfed_homo,crop_rainfed_homo,,100
60,100,101,137,137,,,mixed - smallholder,,,                    mixed - smallholder,intercropping with each crop <30m across,LowVeg,LowCrop,crop_mixed_small,crop_mixed_small,crop_mixed_small,,100
60,100,101,138,139,,,burned crop residue,,,                    burned crop residue,,LowVeg,LowCrop,crop_burned,crop_burned,crop_burned,,100
60,100,140,140,140,,semi-perennial / perennial crop,,,,          semi-perennial / perennial crop,,LowVeg,LowCrop,PerennialCrop,PerennialCrop,PerennialCrop,,100
60,100,140,141,141,,,cotton,,,                    cotton,,LowVeg,LowCrop,PerennialCrop,cotton,cotton,,100
60,100,140,142,142,,,alfalfa,,,                    alfalfa,"perennial, grown year round, can be harvested 3-5 times / yr",LowVeg,LowCrop,PerennialCrop,,alfalfa,,100
60,100,140,143,143,,,sugar,,,                    sugar,,LowVeg,LowCrop,PerennialCrop,sugar,sugar,,100
60,100,140,144,144,,,,sugar - irrigated,,                         sugar - irrigated,,LowVeg,LowCrop,PerennialCrop,sugar_irrigated,sugar_irrigated,,100
60,100,140,145,145,,,,sugar - rainfed,,                         sugar - rainfed,,LowVeg,LowCrop,PerennialCrop,sugar_rainfed,sugar_rainfed,,100
60,100,140,146,146,,,pineapple,,,                    pineapple,,LowVeg,LowCrop,PerennialCrop,pineapple,pineapple,,100
60,100,140,147,147,,,cassava,,,                    cassava,Mandioca -- Cassava -- Yucca,LowVeg,LowCrop,PerennialCrop,cassava,cassava,,100
160,100,140,148,148,,,banana / plantain,,,                    banana / plantain,,LowVeg,LowCrop,PerennialCrop,banana,banana,,100
160,160,160,160,160,MedVeg,,,,,MedVeg,,MedVeg,MedVeg_any,MedVeg_any,medVeg_any,medVeg_any,,100
160,100,150,150,150,,permanent shrub crops,,,,              permanent shrub crops,unknown or other shrubby perrenial crops,MedVeg,ShrubCrop,shrub_crop,shrub_crop,shrub_crop,,100
160,100,150,151,151,,,Tea,,,                     tea,,MedVeg,ShrubCrop,crop_tea,tea,tea,,100
160,100,150,152,152,,,,yerba-mate,,                     yerba-matte,,MedVeg,ShrubCrop,crop_tea,yerba-mate,yerba-mate,,100
160,100,150,153,153,,,vienyard,,,                     vineyard,,MedVeg,ShrubCrop,crop_grape,vineyard,vineyard,,100
160,100,150,155,155,,,coffee,,,                    coffee,,MedVeg,ShrubCrop,crop_coffee,coffee,coffee,,100
160,100,150,156,156,,,cocoa,,,                    cocoa,,MedVeg,ShrubCrop,crop_cocoa,cocoa,cocoa,,100
160,100,150,157,157,,,hemp / cannabis,,,                    hemp / cannabis,,MedVeg,ShrubCrop,crop_hemp,hemp,hemp,,100
160,100,150,158,158,,,berries  (shrubs),,,                    berries (shrubs),,MedVeg,ShrubCrop,crop_berries,berries,berries,,100
160,100,150,159,159,,,illicit shrub crop,,,                    illicit shurb crop,,MedVeg,ShrubCrop,crop_illicit,crop_illicit,crop_illicit,,100
160,161,161,161,161,,shrub - noncrop,,,,              shrub - noncrop,,MedVeg,ShrubNat,shrub_nat,shrub_nat,shrub_nat,,98
160,161,162,162,162,,,natural shrubland,,,                    natural shrubland,,MedVeg,ShrubNat,shrub_nat,shrubland,shrubland,,98
160,161,163,163,163,,,"mixed urban vegetation (not grass, tree or ag)",,,"                    mixed urban vegetation (not grass, tree or ag)",        low urban vegetation (not grass or ag),MedVeg,ShrubNat,shrub_urban,shrub_urban,shrub_urban,,98
160,161,165,165,165,,,medium growth,,,                    medium growth,,MedVeg,ShrubNat,shrub_growth,shrub_growth,shrub_growth,,98
160,161,165,165,167,,,,shrub fallow / transitional medium regrowth,,                           shrub fallow / transitional medium regrowth,                area was previously higher veg and/or non-natural low veg,MedVeg,ShrubNat,shrub_growth,shrub_growth,shrub_regrowth,,98
160,161,164,164,164,,,medium wet veg,,,                    medium wet veg,,MedVeg,ShrubNat,shrub_wet,shrub_wet,shrub_wet,,98
160,161,166,166,166,,,succulents,,,                   succulents,,MedVeg,ShrubNat,succulent,succulent,succulent,,98
160,161,169,169,169,,,burnt-woody,,,                    burnt-woody,"shrubs / trees burnt & browned during the year but does not appear cleared (if trees, recover within year, else 239)",MedVeg,ShrubNat,char_woody,char_woody,burnt_woody,,98
160,170,170,170,170,,Mixed Veg levels,,,,Mixed Veg levels ,,MedVeg,mixed lowHigh,mixed lowHigh,mixed lowHigh,mixed_lowHigh,,98
160,170,168,168,168,,,heavily shaded med to high vegetation,,,       heavily shaded med to high vegetation,"shaded by landscape / structures on ground, not clouds",MedVeg,mixed lowHigh,shaded_veg,shaded_veg,shaded_veg,,98
160,170,171,171,171,,,grassland with med / high vegetation,,,       grassland with med / high vegetation,grassland with any perceptible shrub/tree cover outside of normal grass definitions (e.g. savanna has up to 30% grass,,mixed lowHigh,mixed_grassHigh,mixed_grassHigh,mixed_grassHigh,,98
160,170,171,172,172,,,,dry woodland,,            dry woodland,"grass dominated ecosystem with 10-30% tree cover, in dry climates where this is considered forest",MedVeg,mixed lowHigh,mixed_grassHigh,grass_tree_dry,grass_tree_dry,,98
160,170,171,175,175,,,,grass with any evience of shrubs / trees,,            grass with any evience of shrubs / trees,"grass dominant, but not pure. doesn't fit into other cats. For purity samples targeting pure grass",MedVeg,mixed lowHigh,mixed_grassHigh,grass_impure,grass_impure,,98
160,170,171,176,176,,,,tropical / semi-tropical grassland with trees,,            tropical / semi-tropical grassland with trees,">30% trees & >30% grass, (30-70% closed canopy)",MedVeg,mixed lowHigh,mixed_grassHigh,grass_tree_mix,grass_tree_mix,,98
160,170,177,177,177,,,swidden agricultural system (intermittant forest / crop),,,      swidden agricultural system (intermittant forest / crop),"for maps with long temporal compilations (for short-range maps, use current state)",MedVeg,MedVeg,crop_swidden,crop_swidden,crop_swidden,,98
160,170,187,187,183,,,intercropping with shrubs,,,      intercropping with shrubs,e.g. for water management in the Sahel,MedVeg,MedVeg,crop_wshrub,crop_wshrub,crop_wshrub,,100
160,170,173,173,173,,,vines,,,      vines,"dominant cover is vines,growing over >30% med/high veg",MedVeg,mixed lowHigh,vine,vine,vine,,98
160,170,177,177,178,,,,natural vines,,            natural vines,,MedVeg,mixed lowHigh,vine,vine_natural,vine_natural,,98
160,170,177,177,179,,,,invasive vines,,            invasive vines, (e.g. Kudzu),MedVeg,mixed lowHigh,vine,vine_invasive,vine_invasive,,98
160,170,174,174,174,,,mixed riparian vegetation,,,    mix of med/high and low veg along water way,"can contain some water or rocks, but mostly veg",MedVeg,mixed lowHigh,rip_mixed,rip_mixed,rip_mixed,,98
160,170,181,181,181,,,mixed highVeg and noVeg,,,    mixed highVeg and noVeg,,,mixed lowHigh,mixed_highNo,mixed_highNo,mixed_highNo,,98
160,170,181,184,184,,,,tree-water mix,,            tree-water mix - upland,"mixed 30-70% tree/highveg canopy, 30-70% water. (if trees are in water, use wetland categories. If >70% tree, use riparian forest. If >70% water, use water)",MedVeg,mixed lowHigh,highNo_mix,tree-water-mix,tree-water-mix,,98
160,170,181,181,186,,,,"mixed HighVeg, LowVeg and NoVeg",,"            mixed HighVeg, LowVeg and NoVeg",,,mixed lowHigh,mixed_highNoLow,mixed_highNoLow,mixed_highNoLow,,98
160,170,181,183,187,,,,young tree plantation,,             young tree plantation,1-2 yrs,HighVeg,mixed lowHigh,treeplant_young,treeplant_young,treeplant_young,,98
160,170,181,183,182,,,,,conifer,                    conifer,,HighVeg,mixed lowHigh,treeplant_young,treeplant_young_conifer,treeplant_young_conifer,,98
160,170,181,183,185,,,,,broadleaf,                    broadleaf,,HighVeg,mixed lowHigh,treeplant_young,treeplant_young_broad,treeplant_young_broad,,98
160,170,181,211,211,,,,path through trees,,            path through trees,,Trees,Trees_open,tree_path,tree_path,tree_path,,98
180,180,180,180,180,HighVeg,,,,,HighVeg,,HighVeg,HighVeg_any,HighVeg_any,HighVeg_any,HighVeg_any,,98
180,188,188,188,188,,Immature trees - not managed,,,,             immature trees - not managed,3-5 yrs,HighVeg,Trees_young,trees_young,trees_young,trees_young,,98
180,170,170,189,189,,,shrub/tree encroachment,,,             shrub/tree encroachment,shrubs or tree dominating area that was formerly natural low veg ,MedVeg,ShrubNat,shrub_growth,shrub_growth,shrub_encroach,,98
200,200,200,200,200,Mature Trees,,,,,Mature Trees,"Trees  5 m tall, >20% total vegetation cover",Trees,Trees_any,Trees_any,Trees_any,Trees_any,,98
200,190,190,190,190,,Tree crops,,,,              Tree crops,,Trees,TreeCrop,treecrop_any,treecrop_any,treecrop_any,,98
200,190,191,191,191,,,Orchard,,,                   orchard,,Trees,TreeCrop,orchard,orchard_any,orchard_any,,98
200,190,191,192,192,,,,citrus,,                         citrus,,Trees,TreeCrop,orchard,orchard_citrus,orchard_citrus,,98
200,190,191,193,193,,,,pome / drupe,,                         pome / drupe,,Trees,TreeCrop,orchard,orchard_pome,orchard_pome,,98
200,190,191,194,194,,,,tree nuts,,                         tree nuts,,Trees,TreeCrop,orchard,orchard_nuts,orchard_nuts,,98
200,190,195,195,195,,,rubber,,,                         rubber,,Trees,TreeCrop,crop_rubber,rubber,rubber,,98
200,190,196,196,196,,,palm plantation,,,                   palm plantation,,Trees,TreeCrop,crop_palm,palm_plant_any,palm_plant_any,,98
200,190,199,199,199,,,,oil palm,,                         oil palm,,Trees,TreeCrop,crop_palm,palm_plant_oil,palm_plant_oil,,98
200,190,196,198,198,,,,coconut,,                         coconut,,Trees,TreeCrop,crop_palm,Palm_plant_coconut,palm_plant_coconut,,98
200,190,197,197,197,,,Trees-Orchard-closed,,,                   closed-canopy orchard,">80% tree cover, no gaps seen between trees",Trees,TreeCrop,orchard,orchard_closed,orchard_closed,,98
200,207,207,207,207,,TreePlant,,,,              TreePlant,"for maps with long temporal compilations(for short term maps, should use age cat)",Trees,TreePlant,treeplant,treeplant,treeplant,,98
200,207,217,217,217,,,TreePlant-mature,,,              tree plantation mature,>=3 years,Trees,TreePlant,treeplant_mature,treeplant_mature,treeplant_mature,,98
200,207,217,216,216,,,,open/sparse but mature,,                   open/sparse but mature,"unusually sparse for species, but persists more than 5 yrs",Trees,TreePlant,treeplant_mature,treeplant_open,treeplant_open,,98
200,207,217,202,202,,,,conifer,,                   conifer,,Trees,TreePlant,treeplant_mature,treeplant_conifer,treeplant_conifer,,98
